grade,comment
3,Student did ok
5,Perfect score
2,Nearly failed
4,Good work
1,Nearly passed
5,Great job
3,Not bad
2,Could be better
4,Very good
1,Not good at all
5,Perfect score
3,Student did ok
4,Good work
2,Nearly failed
1,Not good at all
5,Great job
3,Not bad
4,Very good
2,Could be better
1,Nearly passed
5,Perfect score
3,Student did ok
4,Good work
2,Nearly failed
1,Not good at all
5,Great job
3,Not bad
4,Very good
2,Could be better
1,Nearly passed
5,Perfect score
3,Student did ok
4,Good work
2,Nearly failed
1,Not good at all
5,Great job
3,Not bad
4,Very good
2,Could be better
1,Nearly passed
5,Perfect score
3,Student did ok
4,Good work
2,Nearly failed
1,Not good at all
5,Great job
3,Not bad
4,Very good
2,Could be better
1,Nearly passed
5,Perfect score
3,Student did ok
4,Good work
2,Nearly failed
1,Not good at all
5,Great job
3,Not bad
4,Very good
2,Could be better
1,Nearly passed
5,Perfect score
3,Student did ok
4,Good work
2,Nearly failed
1,Not good at all
5,Great job
3,Not bad
4,Very good
2,Could be better
1,Nearly passed
5,Perfect score
3,Student did ok
4,Good work
2,Nearly failed
1,Not good at all
5,Great job
3,Not bad
4,Very good
2,Could be better
1,Nearly passed
5,Perfect score
3,Student did ok
4,Good work
2,Nearly failed
1,Not good at all
5,Great job
3,Not bad
4,Very good
2,Could be better
1,Nearly passed
5,Perfect score
3,Student did ok
4,Good work
2,Nearly failed
1,Not good at all
5,Great job
3,Not bad
4,Very good
2,Could be better
1,Nearly passed
